y1;y2;v1;v2;v3;v4;v5;v6;v7
O;K0;900;91386;225;1431;1206;0,843;12,9413
O;K0;900;98646;235;1414;1179;0,834;10,0223
O;K0;900;90564;218;1352;1134;0,839;10,1192
O;K0;900;95053;229;1446;1217;0,842;13,1543
O;K0;900;73812;222;1377;1155;0,839;9,0599
O;K0;900;87920;218;1352;1134;0,839;12,7889
O;K0;900;85018;209;1275;1066;0,836;14,9635
O;K0;900;74124;215;1198;983;0,821;12,7058
O;K0;900;84665;204;1307;1103;0,844;16,5107
O;K0;700;41276;312;1332;1020;0,766;1,2402
O;K0;900;88645;206;1351;1145;0,848;13,5682
O;K0;900;75314;212;1269;1057;0,833;14,1891
O;KMg;900;83194;222;1298;1076;0,829;9,594
O;KMg;900;89278;232;1353;1121;0,829;9,5265
O;KMg;900;76529;223;1370;1147;0,837;12,7394
O;KMg;900;92189;216;1387;1171;0,844;13,4368
O;KMg;900;81019;217;1370;1153;0,842;12,7476
O;KMg;900;102457;209;1391;1182;0,85;15,9378
O;KMg;900;88054;220;1380;1160;0,841;14,4727
O;KMg;900;53216;204;1153;949;0,823;9,7195
O;KMg;900;86957;222;1405;1183;0,842;14,8411
O;KMg;900;93954;223;1402;1179;0,841;13,3699
O;KMg;900;69851;218;1325;1107;0,835;9,8992
O;KMg;900;76459;210;1189;979;0,823;11,6945
O;AJ 1.1;900;79427;219;1298;1079;0,831;12,2404
O;AJ 1.1;900;85799;220;1294;1074;0,83;11,2635
O;AJ 1.1;900;75179;230;1401;1171;0,836;7,0046
O;AJ 1.1;900;86491;223;1370;1147;0,837;11,4977
O;AJ 1.1;900;85357;216;1269;1053;0,83;10,2982
O;AJ 1.1;900;86547;228;1419;1191;0,839;11,1116
O;PJ 1.2;900;58569;226;1401;1175;0,839;8,451
O;PJ 1.2;900;68046;235;1346;1111;0,825;8,826
O;PJ 1.2;900;77002;215;1350;1135;0,841;13,3476
O;PJ 1.2;900;98793;228;1487;1259;0,847;13,6062
O;PJ 1.2;700;50668;219;1299;1080;0,831;8,5537
O;PJ 1.2;900;80411;213;1341;1128;0,841;13,1217
O;DLGB 2;900;86694;216;1386;1170;0,844;13,0507
O;DLGB 2;900;82066;222;1408;1186;0,842;12,7603
O;DLGB 2;900;90135;226;1258;1032;0,82;8,6627
O;DLGB 2;900;72667;219;1270;1051;0,828;10,5129
O;DLGB 2;900;97428;237;1437;1200;0,835;8,1352
O;DLGB 2;900;85789;233;1412;1179;0,835;10,0975
O;DLGB 3;900;78456;208;1307;1099;0,841;15,6082
O;DLGB 3;900;92890;283;1330;1047;0,787;4,7184
O;DLGB 3;900;85584;202;1347;1145;0,85;15,8506
O;DLGB 3;900;81863;223;1372;1149;0,837;13,6315
O;DLGB 3;900;86142;209;1346;1137;0,845;12,7971
O;DLGB 3;900;97196;219;1384;1165;0,842;12,6167
O;DKB 26;900;77778;226;1379;1153;0,836;9,6349
O;DKB 26;900;76105;223;1315;1092;0,83;10,0848
O;DKB 26;900;100350;230;1454;1224;0,842;12,248
O;DKB 26;900;97528;234;1429;1195;0,836;9,5139
O;DKB 26;900;71335;235;1448;1213;0,838;9,2673
O;DKB 26;900;62775;219;1292;1073;0,83;9,1682
O;DKB 58;900;84817;218;1333;1115;0,836;9,2941
O;DKB 58;900;89102;230;1427;1197;0,839;14,777
O;DKB 58;900;81502;219;1414;1195;0,845;12,6667
O;DKB 58;900;92020;216;1411;1195;0,847;13,3183
O;DKB 58;900;96866;234;1461;1227;0,84;10,9176
O;DKB 58;900;87422;227;1348;1121;0,832;9,4009
O;DKB 84;900;79363;227;1426;1199;0,841;8,5635
O;DKB 84;900;84446;219;1363;1144;0,839;11,835
O;DKB 84;900;91807;231;1443;1212;0,84;8,7806
O;DKB 84;900;82748;205;1317;1112;0,844;15,892
O;DKB 84;900;77883;237;1371;1134;0,827;8,8341
O;DKB 84;900;78439;217;1362;1145;0,841;13,2749
O;DKB 64;900;94651;215;1394;1179;0,846;14,4012
O;DKB 64;900;78078;217;1355;1138;0,84;10,4604
O;DKB 64;900;81458;231;1469;1238;0,843;9,0874
O;DKB 64;900;67577;221;1363;1142;0,838;10,3023
O;DKB 64;700;70046;197;1246;1049;0,842;12,4955
O;DKB 64;900;87654;235;1402;1167;0,832;9,5975
O;DKB 65;900;71104;215;1324;1109;0,838;12,2363
O;DKB 65;900;84065;220;1365;1145;0,839;12,8477
